Posted Date,Payee,Address,Amount
01/06/2015,"IKEA VAUGHAN CONCORD ON"," ",-236.16
01/07/2015,"SHELL MARKHAM ON"," ",-45.00
01/07/2015,"MCDONALD'S #40050 Q04 SCARBOROUGH ON"," ",-2.25
01/07/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-32.35
01/07/2015,"MR GREEK EXPRESS TORONTO ON"," ",-14.58
01/08/2015,"CDN TIRE STORE #00264 AGINCOURT ON"," ",-22.58
01/08/2015,"AI4-LIMITLESS AUTO SCARBOROUGH ON"," ",-85.65
01/08/2015,"ETS*CTF TOEFL IBT TEST 609-771-7100 NJ"," ",-330.85
01/12/2015,"CASA-IMPERIAL FINE CHI TORONTO ON"," ",-63.03
01/12/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-58.38
01/12/2015,"T&T SUPERMARKET #021 MARKHAM ON"," ",-65.79
01/12/2015,"BURGER KING #13330 Q07 SCARBOROUGH ON"," ",-6.07
01/12/2015,"KAM TOA HOT FRESH CHIN RICHMOND HILLON"," ",-65.04
01/13/2015,"SHELL SCARBOROUGH ON"," ",-59.41
01/13/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-48.55
01/14/2015,"PC INSURANCE - PAFCO MARKHAM ON"," ",-450.00
01/14/2015,"PC INSURANCE - PAFCO MARKHAM ON"," ",-150.00
01/14/2015,"PAYMENT"," ",1174.20
01/16/2015,"ABERCROMBIE & FITC AMSTERDAM NLD"," ",-30.20
01/19/2015,"REX'S DEN RESTAURANT SCARBOROUGH ON"," ",-12.42
01/19/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-6.00
01/19/2015,"T&T SUPERMARKET #011 MARKHAM ON"," ",-38.80
01/20/2015,"SHELL SCARBOROUGH ON"," ",-35.59
01/20/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-42.94
01/21/2015,"PAYMENT"," ",795.38
01/22/2015,"EMIRATES 17602187212268 NEW YORK NY"," ",-1005.75
01/23/2015,"PITA LAND DON MILLS SCARBOROUGH ON"," ",-6.99
01/23/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-7.30
01/26/2015,"NAKAMURA BAKERY MARKHAM ON"," ",-14.02
01/26/2015,"RYOJI RAMEN & IZAKAYA TORONTO ON"," ",-53.45
01/27/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-13.23
01/27/2015,"WAL-MART #3635 SCARBOROUGH ON"," ",-12.98
01/29/2015,"BURGER KING #13729 Q07 SCARBOROUGH ON"," ",-6.05
02/02/2015,"REX'S DEN RESTAURANT SCARBOROUGH ON"," ",-9.64
02/02/2015,"CHIPOTLE MEXICAN GRILL TORONTO ON"," ",-10.11
02/02/2015,"GUILDWOOD GO STATION # SCARBOROUGH ON"," ",-12.20
02/02/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-5.50
02/02/2015,"PAI TORONTO ON"," ",-35.09
02/02/2015,"AIRBNB WWW.AIRBNB.CODE"," ",-83.00
02/02/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-43.14
02/02/2015,"PAYMENT"," ",146.47
02/02/2015,"PAYMENT"," ",1198.30
02/03/2015,"SHELL SCARBOROUGH ON"," ",-52.17
02/03/2015,"EASYTOBOOK COM AMSTERDA NLD"," ",-187.09
